TiaGitHubHash,TiaMetaInfo,TiaVstsHash,TiaRuntime,TiaTotalTests,TiaNumberOfUnAnalyzedTests,TiaNumberofTestsPassed,TiaNumberOfTestsFailed,TiaNumberOfTestsSkipped,TiaTotalNumberOfTestRun,TiaPercentageOfTestsRun,RetestAllGitHubHash,RetestAllMetaInfo,RetestAllVstsHash,RetestAllRuntime,RetestAllTotalTests,RetestAllNumberOfUnAnalyzedTests,RetestAllNumberofTestsPassed,RetestAllNumberOfTestsFailed,RetestAllNumberOfTestsSkipped,RetestAllTotalNumberOfTestRun,RetestAllPercentageOfTestsRun,ESharpGitHubHash,ESharpMetaInfo,ESharpVstsHash,ESharpRuntime,ESharpTotalTests,ESharpNumberOfUnAnalyzedTests,ESharpNumberofTestsPassed,ESharpNumberOfTestsFailed,ESharpNumberOfTestsSkipped,ESharpTotalNumberOfTestRun,ESharpPercentageOfTestsRun
72039817863366db26b023cc5482ee8d0ebcf6ab,016cc69 702 commits back from current GitHub head Hash:72039817863366db26b023cc5482ee8d0ebcf6ab,,47.38,776,0,425,0,0,425,0.547680412371134,72039817863366db26b023cc5482ee8d0ebcf6ab,016cc69 702 commits back from current GitHub head Hash:72039817863366db26b023cc5482ee8d0ebcf6ab,,2.967,369,0,364,0,0,364,0.986449864498645,72039817863366db26b023cc5482ee8d0ebcf6ab,707_72039817863366db26b023cc5482ee8d0ebcf6ab_Results,,1.039,369,337,32,0,0,32,0.0867208672086721
c06dc189b125b4ea6859df881b18250d51747c10,024cdb8 721 commits back from current GitHub head Hash:c06dc189b125b4ea6859df881b18250d51747c10,,37.173,756,0,405,0,0,405,0.535714285714286,c06dc189b125b4ea6859df881b18250d51747c10,024cdb8 721 commits back from current GitHub head Hash:c06dc189b125b4ea6859df881b18250d51747c10,,4.344,349,0,344,0,0,344,0.98567335243553,c06dc189b125b4ea6859df881b18250d51747c10,726_c06dc189b125b4ea6859df881b18250d51747c10_Results,,3.756,349,93,256,0,0,256,0.73352435530086
acd289eb0bcece25b20b9ebe73511b5a8370fa06,048e096 773 commits back from current GitHub head Hash:acd289eb0bcece25b20b9ebe73511b5a8370fa06,,37.837,767,2,370,0,0,370,0.482398956975228,acd289eb0bcece25b20b9ebe73511b5a8370fa06,048e096 773 commits back from current GitHub head Hash:acd289eb0bcece25b20b9ebe73511b5a8370fa06,,3.903,379,2,367,0,0,367,0.968337730870712,acd289eb0bcece25b20b9ebe73511b5a8370fa06,778_acd289eb0bcece25b20b9ebe73511b5a8370fa06_Results,,0.257,360,354,6,0,0,6,0.0166666666666667
7d8a4733abfac7263928ef851442946e8a1d5555,08c8718 740 commits back from current GitHub head Hash:7d8a4733abfac7263928ef851442946e8a1d5555,,37.03,743,0,392,0,0,392,0.527590847913863,7d8a4733abfac7263928ef851442946e8a1d5555,08c8718 740 commits back from current GitHub head Hash:7d8a4733abfac7263928ef851442946e8a1d5555,,3.477,336,0,331,0,0,331,0.985119047619048,7d8a4733abfac7263928ef851442946e8a1d5555,745_7d8a4733abfac7263928ef851442946e8a1d5555_Results,,0.725,336,326,10,0,0,10,0.0297619047619048
210f6f6686380dd5c764680f5d8578dc33cd49ba,0c56d15 781 commits back from current GitHub head Hash:210f6f6686380dd5c764680f5d8578dc33cd49ba,,36.843,782,0,371,0,0,371,0.474424552429668,210f6f6686380dd5c764680f5d8578dc33cd49ba,0c56d15 781 commits back from current GitHub head Hash:210f6f6686380dd5c764680f5d8578dc33cd49ba,,3.407,394,0,384,0,0,384,0.974619289340102,210f6f6686380dd5c764680f5d8578dc33cd49ba,786_210f6f6686380dd5c764680f5d8578dc33cd49ba_Results,,0,375,375,0,0,0,0,0
7eb339a4c0e76e9fa62a0094f46b33e06d3081eb,0ea8d63 718 commits back from current GitHub head Hash:7eb339a4c0e76e9fa62a0094f46b33e06d3081eb,,38.963,757,0,406,0,0,406,0.536327608982827,7eb339a4c0e76e9fa62a0094f46b33e06d3081eb,0ea8d63 718 commits back from current GitHub head Hash:7eb339a4c0e76e9fa62a0094f46b33e06d3081eb,,3.194,350,0,345,0,0,345,0.985714285714286,7eb339a4c0e76e9fa62a0094f46b33e06d3081eb,723_7eb339a4c0e76e9fa62a0094f46b33e06d3081eb_Results,,1.114,350,295,55,0,0,55,0.157142857142857
dda1cf72af947c5abf5fcf67f38b739b9a4deed5,0ffe040 768 commits back from current GitHub head Hash:dda1cf72af947c5abf5fcf67f38b739b9a4deed5,,36.967,751,0,372,0,0,372,0.495339547270306,dda1cf72af947c5abf5fcf67f38b739b9a4deed5,0ffe040 768 commits back from current GitHub head Hash:dda1cf72af947c5abf5fcf67f38b739b9a4deed5,,3.037,363,0,353,0,0,353,0.972451790633609,dda1cf72af947c5abf5fcf67f38b739b9a4deed5,773_dda1cf72af947c5abf5fcf67f38b739b9a4deed5_Results,,0.344,344,327,17,0,0,17,0.0494186046511628
b53200873e742c1ec69215b702d6644ef264beaf,1325569 771 commits back from current GitHub head Hash:b53200873e742c1ec69215b702d6644ef264beaf,,46.376,751,2,370,0,0,370,0.492676431424767,b53200873e742c1ec69215b702d6644ef264beaf,1325569 771 commits back from current GitHub head Hash:b53200873e742c1ec69215b702d6644ef264beaf,,3.91,363,2,351,0,0,351,0.966942148760331,b53200873e742c1ec69215b702d6644ef264beaf,776_b53200873e742c1ec69215b702d6644ef264beaf_Results,,0.346,344,328,16,0,0,16,0.0465116279069767
086916de965a857f978e2dc9163a3eaaa6c8b671,15911c7 738 commits back from current GitHub head Hash:086916de965a857f978e2dc9163a3eaaa6c8b671,,36.176,744,0,393,0,0,393,0.528225806451613,086916de965a857f978e2dc9163a3eaaa6c8b671,15911c7 738 commits back from current GitHub head Hash:086916de965a857f978e2dc9163a3eaaa6c8b671,,3.706,337,0,332,0,0,332,0.985163204747775,086916de965a857f978e2dc9163a3eaaa6c8b671,743_086916de965a857f978e2dc9163a3eaaa6c8b671_Results,,0,337,337,0,0,0,0,0
038521f68f82e9e06a9992b5f305af0bb1633d85,17aca2f 788 commits back from current GitHub head Hash:038521f68f82e9e06a9992b5f305af0bb1633d85,,36.753,779,0,368,0,0,368,0.472400513478819,038521f68f82e9e06a9992b5f305af0bb1633d85,17aca2f 788 commits back from current GitHub head Hash:038521f68f82e9e06a9992b5f305af0bb1633d85,,3.804,391,0,381,0,0,381,0.974424552429668,038521f68f82e9e06a9992b5f305af0bb1633d85,793_038521f68f82e9e06a9992b5f305af0bb1633d85_Results,,2.004,372,264,108,0,0,108,0.290322580645161
