TiaGitHubHash,TiaMetaInfo,TiaVstsHash,TiaRuntime,TiaTotalTests,TiaNumberOfUnAnalyzedTests,TiaNumberofTestsPassed,TiaNumberOfTestsFailed,TiaNumberOfTestsSkipped,TiaTotalNumberOfTestRun,TiaPercentageOfTestsRun,RetestAllGitHubHash,RetestAllMetaInfo,RetestAllVstsHash,RetestAllRuntime,RetestAllTotalTests,RetestAllNumberOfUnAnalyzedTests,RetestAllNumberofTestsPassed,RetestAllNumberOfTestsFailed,RetestAllNumberOfTestsSkipped,RetestAllTotalNumberOfTestRun,RetestAllPercentageOfTestsRun,ESharpGitHubHash,ESharpMetaInfo,ESharpVstsHash,ESharpRuntime,ESharpTotalTests,ESharpNumberOfUnAnalyzedTests,ESharpNumberofTestsPassed,ESharpNumberOfTestsFailed,ESharpNumberOfTestsSkipped,ESharpTotalNumberOfTestRun,ESharpPercentageOfTestsRun
6692a6547da5c00814bd81e3b63b5fdf12d1682f,02d8c9e 313 commits back from current GitHub head Hash:6692a6547da5c00814bd81e3b63b5fdf12d1682f,,-63648937384.52,2235,0,0,0,0,0,0,6692a6547da5c00814bd81e3b63b5fdf12d1682f,02d8c9e 313 commits back from current GitHub head Hash:6692a6547da5c00814bd81e3b63b5fdf12d1682f,,36.187,2384,0,2381,0,0,2381,0.998741610738255,6692a6547da5c00814bd81e3b63b5fdf12d1682f,313_6692a6547da5c00814bd81e3b63b5fdf12d1682f_Results,,4.818,1688,1604,84,0,0,84,0.0497630331753555
df0dbe0593eead21c99fd03eca8992797dfec377,02e0188 300 commits back from current GitHub head Hash:df0dbe0593eead21c99fd03eca8992797dfec377,,-63648942756.3,2240,0,0,0,0,0,0,df0dbe0593eead21c99fd03eca8992797dfec377,02e0188 300 commits back from current GitHub head Hash:df0dbe0593eead21c99fd03eca8992797dfec377,,37.773,2391,0,2388,0,0,2388,0.998745294855709,df0dbe0593eead21c99fd03eca8992797dfec377,300_df0dbe0593eead21c99fd03eca8992797dfec377_Results,,6.937,1737,1491,246,0,0,246,0.141623488773748
df8722d11e983029446d48d5b08740d9dad24218,07a8c17 318 commits back from current GitHub head Hash:df8722d11e983029446d48d5b08740d9dad24218,,-63648935109.947,2227,0,0,0,0,0,0,df8722d11e983029446d48d5b08740d9dad24218,07a8c17 318 commits back from current GitHub head Hash:df8722d11e983029446d48d5b08740d9dad24218,,35.623,2374,0,2371,0,0,2371,0.998736310025274,df8722d11e983029446d48d5b08740d9dad24218,318_df8722d11e983029446d48d5b08740d9dad24218_Results,,11.446,1726,1613,113,0,0,113,0.0654692931633835
06cf21609b5e61bee5b16e0b1f21e9341635a785,07acd9a 309 commits back from current GitHub head Hash:06cf21609b5e61bee5b16e0b1f21e9341635a785,,-63648939098.837,2248,0,0,0,0,0,0,06cf21609b5e61bee5b16e0b1f21e9341635a785,07acd9a 309 commits back from current GitHub head Hash:06cf21609b5e61bee5b16e0b1f21e9341635a785,,37.95,2384,0,2381,0,0,2381,0.998741610738255,06cf21609b5e61bee5b16e0b1f21e9341635a785,309_06cf21609b5e61bee5b16e0b1f21e9341635a785_Results,,1.459,35,9,26,0,0,26,0.742857142857143
47d82986879edcff765ef85972dc3d38a0567cae,0867ed9 284 commits back from current GitHub head Hash:47d82986879edcff765ef85972dc3d38a0567cae,,-63648948642.57,2243,0,0,0,0,0,0,47d82986879edcff765ef85972dc3d38a0567cae,0867ed9 284 commits back from current GitHub head Hash:47d82986879edcff765ef85972dc3d38a0567cae,,37.283,2391,1,2387,0,0,2387,0.998327059807612,47d82986879edcff765ef85972dc3d38a0567cae,284_47d82986879edcff765ef85972dc3d38a0567cae_Results,,3.546,1588,1459,129,0,0,129,0.0812342569269521
5da52414f8f5676a9cfe66ca96cd50002cdacb92,1a19615 311 commits back from current GitHub head Hash:5da52414f8f5676a9cfe66ca96cd50002cdacb92,,-63648938265.88,2233,0,0,0,0,0,0,5da52414f8f5676a9cfe66ca96cd50002cdacb92,1a19615 311 commits back from current GitHub head Hash:5da52414f8f5676a9cfe66ca96cd50002cdacb92,,37.88,2384,0,2381,0,0,2381,0.998741610738255,5da52414f8f5676a9cfe66ca96cd50002cdacb92,311_5da52414f8f5676a9cfe66ca96cd50002cdacb92_Results,,5.969,1734,1616,118,0,0,118,0.0680507497116494
e6e40a7666d7dea6443e8f4089d53f6c993d63db,1a638d7 283 commits back from current GitHub head Hash:e6e40a7666d7dea6443e8f4089d53f6c993d63db,,-63648948951.277,2247,0,0,0,0,0,0,e6e40a7666d7dea6443e8f4089d53f6c993d63db,1a638d7 283 commits back from current GitHub head Hash:e6e40a7666d7dea6443e8f4089d53f6c993d63db,,38.897,2391,1,2387,0,0,2387,0.998327059807612,e6e40a7666d7dea6443e8f4089d53f6c993d63db,283_e6e40a7666d7dea6443e8f4089d53f6c993d63db_Results,,1.496,35,9,26,0,0,26,0.742857142857143
066fee804086d30fe76b9b98874fc419e5cff669,1ae469e 314 commits back from current GitHub head Hash:066fee804086d30fe76b9b98874fc419e5cff669,,-63648936914.29,2242,0,0,0,0,0,0,066fee804086d30fe76b9b98874fc419e5cff669,1ae469e 314 commits back from current GitHub head Hash:066fee804086d30fe76b9b98874fc419e5cff669,,39.29,2383,0,2380,0,0,2380,0.998741082668905,066fee804086d30fe76b9b98874fc419e5cff669,314_066fee804086d30fe76b9b98874fc419e5cff669_Results,,1.422,35,9,26,0,0,26,0.742857142857143
f14e2fe66ca8e3e110e442000f8a9a7cfcd0854b,1afd7ec 339 commits back from current GitHub head Hash:f14e2fe66ca8e3e110e442000f8a9a7cfcd0854b,,-63648931270.51,2230,0,0,0,0,0,0,f14e2fe66ca8e3e110e442000f8a9a7cfcd0854b,1afd7ec 339 commits back from current GitHub head Hash:f14e2fe66ca8e3e110e442000f8a9a7cfcd0854b,,54.92,2365,0,2362,0,0,2362,0.998731501057082,f14e2fe66ca8e3e110e442000f8a9a7cfcd0854b,339_f14e2fe66ca8e3e110e442000f8a9a7cfcd0854b_Results,,2.135,35,9,26,0,0,26,0.742857142857143
ca656541333e5c1647b8f7a6e745fda5dc317f24,2950c3d 301 commits back from current GitHub head Hash:ca656541333e5c1647b8f7a6e745fda5dc317f24,,-63648942341.7,2243,0,0,0,0,0,0,ca656541333e5c1647b8f7a6e745fda5dc317f24,2950c3d 301 commits back from current GitHub head Hash:ca656541333e5c1647b8f7a6e745fda5dc317f24,,36.71,2391,0,2388,0,0,2388,0.998745294855709,ca656541333e5c1647b8f7a6e745fda5dc317f24,301_ca656541333e5c1647b8f7a6e745fda5dc317f24_Results,,5.023,136,83,53,0,0,53,0.389705882352941
