TiaGitHubHash,TiaMetaInfo,TiaVstsHash,TiaRuntime,TiaTotalTests,TiaNumberOfUnAnalyzedTests,TiaNumberofTestsPassed,TiaNumberOfTestsFailed,TiaNumberOfTestsSkipped,TiaTotalNumberOfTestRun,TiaPercentageOfTestsRun,RetestAllGitHubHash,RetestAllMetaInfo,RetestAllVstsHash,RetestAllRuntime,RetestAllTotalTests,RetestAllNumberOfUnAnalyzedTests,RetestAllNumberofTestsPassed,RetestAllNumberOfTestsFailed,RetestAllNumberOfTestsSkipped,RetestAllTotalNumberOfTestRun,RetestAllPercentageOfTestsRun,ESharpGitHubHash,ESharpMetaInfo,ESharpVstsHash,ESharpRuntime,ESharpTotalTests,ESharpNumberOfUnAnalyzedTests,ESharpNumberofTestsPassed,ESharpNumberOfTestsFailed,ESharpNumberOfTestsSkipped,ESharpTotalNumberOfTestRun,ESharpPercentageOfTestsRun
7f241d7aef3c5285cefd3934c54b11d0c2d0c5ed,00d5f3e 329 commits back from current GitHub head Hash:7f241d7aef3c5285cefd3934c54b11d0c2d0c5ed,,22.58,2510,2318,191,0,0,191,0.0760956175298805,7f241d7aef3c5285cefd3934c54b11d0c2d0c5ed,00d5f3e 329 commits back from current GitHub head Hash:7f241d7aef3c5285cefd3934c54b11d0c2d0c5ed,,24.196,2319,1,2317,0,0,2317,0.999137559292799,7f241d7aef3c5285cefd3934c54b11d0c2d0c5ed,329_7f241d7aef3c5285cefd3934c54b11d0c2d0c5ed_Results,,0.006,2132,2132,0,0,0,0,0
f2f87880be8e9609833f9b30e4ab851a49f30d37,00da0e4 391 commits back from current GitHub head Hash:f2f87880be8e9609833f9b30e4ab851a49f30d37,,33.874,2427,2055,371,0,0,371,0.15286361763494,f2f87880be8e9609833f9b30e4ab851a49f30d37,00da0e4 391 commits back from current GitHub head Hash:f2f87880be8e9609833f9b30e4ab851a49f30d37,,41.77,2236,1,2234,0,0,2234,0.999105545617174,f2f87880be8e9609833f9b30e4ab851a49f30d37,391_f2f87880be8e9609833f9b30e4ab851a49f30d37_Results,,2.813,2049,1870,179,0,0,179,0.0873596876525134
00e75556a64677e916fabb69383312f72f8e04f3,042aa90 379 commits back from current GitHub head Hash:00e75556a64677e916fabb69383312f72f8e04f3,,23.87,2440,2248,191,0,0,191,0.0782786885245902,00e75556a64677e916fabb69383312f72f8e04f3,042aa90 379 commits back from current GitHub head Hash:00e75556a64677e916fabb69383312f72f8e04f3,,26.55,2249,1,2247,0,0,2247,0.999110715873722,00e75556a64677e916fabb69383312f72f8e04f3,379_00e75556a64677e916fabb69383312f72f8e04f3_Results,,0.006,2062,2062,0,0,0,0,0
3773eb5be78a112da5d5e5733a3a524684cd606f,074c0ae 383 commits back from current GitHub head Hash:3773eb5be78a112da5d5e5733a3a524684cd606f,,120.973,2438,725,1712,0,0,1712,0.702214930270714,3773eb5be78a112da5d5e5733a3a524684cd606f,074c0ae 383 commits back from current GitHub head Hash:3773eb5be78a112da5d5e5733a3a524684cd606f,,27.903,2247,1,2245,0,0,2245,0.999109924343569,3773eb5be78a112da5d5e5733a3a524684cd606f,383_3773eb5be78a112da5d5e5733a3a524684cd606f_Results,,28.899,2060,160,1893,7,0,1900,0.922330097087379
78f5587403b3f5ed26306d570eac237089a9bfd3,07c937a 365 commits back from current GitHub head Hash:78f5587403b3f5ed26306d570eac237089a9bfd3,,44.217,2480,1924,555,0,0,555,0.223790322580645,78f5587403b3f5ed26306d570eac237089a9bfd3,07c937a 365 commits back from current GitHub head Hash:78f5587403b3f5ed26306d570eac237089a9bfd3,,24.57,2289,1,2287,0,0,2287,0.99912625600699,78f5587403b3f5ed26306d570eac237089a9bfd3,365_78f5587403b3f5ed26306d570eac237089a9bfd3_Results,,5.954,2102,1738,363,1,0,364,0.173168411037108
a31c30d50a748cb57eaf4fdd76048c39af1010bc,0c4a392 359 commits back from current GitHub head Hash:a31c30d50a748cb57eaf4fdd76048c39af1010bc,,56.387,2486,1800,685,0,0,685,0.275543041029767,a31c30d50a748cb57eaf4fdd76048c39af1010bc,0c4a392 359 commits back from current GitHub head Hash:a31c30d50a748cb57eaf4fdd76048c39af1010bc,,24.527,2295,1,2293,0,0,2293,0.999128540305011,a31c30d50a748cb57eaf4fdd76048c39af1010bc,359_a31c30d50a748cb57eaf4fdd76048c39af1010bc_Results,,24.13,2108,480,1621,7,0,1628,0.772296015180266
327376218ba0f2e2c932174db495cb9ed49cfe42,0c87e73 366 commits back from current GitHub head Hash:327376218ba0f2e2c932174db495cb9ed49cfe42,,21.647,2479,2287,191,0,0,191,0.0770471964501815,327376218ba0f2e2c932174db495cb9ed49cfe42,0c87e73 366 commits back from current GitHub head Hash:327376218ba0f2e2c932174db495cb9ed49cfe42,,25.68,2288,1,2286,0,0,2286,0.999125874125874,327376218ba0f2e2c932174db495cb9ed49cfe42,366_327376218ba0f2e2c932174db495cb9ed49cfe42_Results,,0.006,2101,2101,0,0,0,0,0
38a687f68395026100d9ee3b22b10ec1b696a914,0cba81d 301 commits back from current GitHub head Hash:38a687f68395026100d9ee3b22b10ec1b696a914,,84.66,2569,1176,1392,0,0,1392,0.541845075905021,38a687f68395026100d9ee3b22b10ec1b696a914,0cba81d 301 commits back from current GitHub head Hash:38a687f68395026100d9ee3b22b10ec1b696a914,,24.82,2378,1,2376,0,0,2376,0.999158957106812,38a687f68395026100d9ee3b22b10ec1b696a914,301_38a687f68395026100d9ee3b22b10ec1b696a914_Results,,28.792,2191,220,1964,7,0,1971,0.899589228662711
0c5b72a52111095b84829dc7aae6291b250e1971,0dd0351 377 commits back from current GitHub head Hash:0c5b72a52111095b84829dc7aae6291b250e1971,,80.48,2441,1188,1252,0,0,1252,0.512904547316673,0c5b72a52111095b84829dc7aae6291b250e1971,0dd0351 377 commits back from current GitHub head Hash:0c5b72a52111095b84829dc7aae6291b250e1971,,26.993,2250,1,2248,0,0,2248,0.999111111111111,0c5b72a52111095b84829dc7aae6291b250e1971,377_0c5b72a52111095b84829dc7aae6291b250e1971_Results,,0.006,2063,2063,0,0,0,0,0
b24be98fccd5f12dca12c8fa1c54f75a4307e201,1042be2 340 commits back from current GitHub head Hash:b24be98fccd5f12dca12c8fa1c54f75a4307e201,,27.324,2496,2236,259,0,0,259,0.103766025641026,b24be98fccd5f12dca12c8fa1c54f75a4307e201,1042be2 340 commits back from current GitHub head Hash:b24be98fccd5f12dca12c8fa1c54f75a4307e201,,25.623,2305,1,2303,0,0,2303,0.999132321041215,b24be98fccd5f12dca12c8fa1c54f75a4307e201,340_b24be98fccd5f12dca12c8fa1c54f75a4307e201_Results,,1.181,2118,2050,68,0,0,68,0.0321057601510859
