TiaGitHubHash,TiaMetaInfo,TiaVstsHash,TiaRuntime,TiaTotalTests,TiaNumberOfUnAnalyzedTests,TiaNumberofTestsPassed,TiaNumberOfTestsFailed,TiaNumberOfTestsSkipped,TiaTotalNumberOfTestRun,TiaPercentageOfTestsRun,RetestAllGitHubHash,RetestAllMetaInfo,RetestAllVstsHash,RetestAllRuntime,RetestAllTotalTests,RetestAllNumberOfUnAnalyzedTests,RetestAllNumberofTestsPassed,RetestAllNumberOfTestsFailed,RetestAllNumberOfTestsSkipped,RetestAllTotalNumberOfTestRun,RetestAllPercentageOfTestsRun,ESharpGitHubHash,ESharpMetaInfo,ESharpVstsHash,ESharpRuntime,ESharpTotalTests,ESharpNumberOfUnAnalyzedTests,ESharpNumberofTestsPassed,ESharpNumberOfTestsFailed,ESharpNumberOfTestsSkipped,ESharpTotalNumberOfTestRun,ESharpPercentageOfTestsRun
bc373b63736724432edfdbb7405be4dbaa7af578,04038dd 286 commits back from current GitHub head Hash:bc373b63736724432edfdbb7405be4dbaa7af578,,13.387,228,158,70,0,0,70,0.307017543859649,bc373b63736724432edfdbb7405be4dbaa7af578,04038dd 286 commits back from current GitHub head Hash:bc373b63736724432edfdbb7405be4dbaa7af578,,1.963,158,0,158,0,0,158,1,bc373b63736724432edfdbb7405be4dbaa7af578,286_bc373b63736724432edfdbb7405be4dbaa7af578_Results,,0.011,158,158,0,0,0,0,0
438536b0559d183747f06b514c889f22e4a8899d,0455790 326 commits back from current GitHub head Hash:438536b0559d183747f06b514c889f22e4a8899d,,14.967,140,42,98,0,0,98,0.7,438536b0559d183747f06b514c889f22e4a8899d,0455790 326 commits back from current GitHub head Hash:438536b0559d183747f06b514c889f22e4a8899d,,2.13,102,0,102,0,0,102,1,438536b0559d183747f06b514c889f22e4a8899d,326_438536b0559d183747f06b514c889f22e4a8899d_Results,,1.099,102,92,10,0,0,10,0.0980392156862745
7101c8e4286ec8493f36cb9b30937df34c5ea084,05f4bb8 281 commits back from current GitHub head Hash:7101c8e4286ec8493f36cb9b30937df34c5ea084,,13.92,228,153,75,0,0,75,0.328947368421053,7101c8e4286ec8493f36cb9b30937df34c5ea084,05f4bb8 281 commits back from current GitHub head Hash:7101c8e4286ec8493f36cb9b30937df34c5ea084,,1.91,158,0,158,0,0,158,1,7101c8e4286ec8493f36cb9b30937df34c5ea084,281_7101c8e4286ec8493f36cb9b30937df34c5ea084_Results,,1.049,158,156,2,0,0,2,0.0126582278481013
7ffbde396e0a95e6fc8449318a94353ab0851160,0711f16 305 commits back from current GitHub head Hash:7ffbde396e0a95e6fc8449318a94353ab0851160,,12.456,228,158,70,0,0,70,0.307017543859649,7ffbde396e0a95e6fc8449318a94353ab0851160,0711f16 305 commits back from current GitHub head Hash:7ffbde396e0a95e6fc8449318a94353ab0851160,,1.857,158,0,158,0,0,158,1,7ffbde396e0a95e6fc8449318a94353ab0851160,305_7ffbde396e0a95e6fc8449318a94353ab0851160_Results,,0.006,158,158,0,0,0,0,0
e2e9b90e21d0ef17659c8dbe2505db54d0483e22,145d500 299 commits back from current GitHub head Hash:e2e9b90e21d0ef17659c8dbe2505db54d0483e22,,13.227,228,149,79,0,0,79,0.346491228070175,e2e9b90e21d0ef17659c8dbe2505db54d0483e22,145d500 299 commits back from current GitHub head Hash:e2e9b90e21d0ef17659c8dbe2505db54d0483e22,,1.956,158,0,158,0,0,158,1,e2e9b90e21d0ef17659c8dbe2505db54d0483e22,299_e2e9b90e21d0ef17659c8dbe2505db54d0483e22_Results,,0.006,158,158,0,0,0,0,0
46235c83b4d1207fa2628158d896a31adbd15174,1b94b45 268 commits back from current GitHub head Hash:46235c83b4d1207fa2628158d896a31adbd15174,,13.57,239,169,70,0,0,70,0.292887029288703,46235c83b4d1207fa2628158d896a31adbd15174,1b94b45 268 commits back from current GitHub head Hash:46235c83b4d1207fa2628158d896a31adbd15174,,2.21,169,0,169,0,0,169,1,46235c83b4d1207fa2628158d896a31adbd15174,268_46235c83b4d1207fa2628158d896a31adbd15174_Results,,0.011,169,169,0,0,0,0,0
08a28689e7340f8cb57a84b51a2db062907b5e4f,21174c6 298 commits back from current GitHub head Hash:08a28689e7340f8cb57a84b51a2db062907b5e4f,,17.66,228,70,158,0,0,158,0.692982456140351,08a28689e7340f8cb57a84b51a2db062907b5e4f,21174c6 298 commits back from current GitHub head Hash:08a28689e7340f8cb57a84b51a2db062907b5e4f,,1.956,158,0,158,0,0,158,1,08a28689e7340f8cb57a84b51a2db062907b5e4f,298_08a28689e7340f8cb57a84b51a2db062907b5e4f_Results,,0.011,158,158,0,0,0,0,0
fadbec9b9cf4035e7925a2c5b78ad05c7bb40ed7,22614ed 264 commits back from current GitHub head Hash:fadbec9b9cf4035e7925a2c5b78ad05c7bb40ed7,,13.683,239,169,70,0,0,70,0.292887029288703,fadbec9b9cf4035e7925a2c5b78ad05c7bb40ed7,22614ed 264 commits back from current GitHub head Hash:fadbec9b9cf4035e7925a2c5b78ad05c7bb40ed7,,2.257,169,0,169,0,0,169,1,fadbec9b9cf4035e7925a2c5b78ad05c7bb40ed7,264_fadbec9b9cf4035e7925a2c5b78ad05c7bb40ed7_Results,,0.006,169,169,0,0,0,0,0
cbb9a876857e4d796c3b56c8ffded286f95efb81,248b437 334 commits back from current GitHub head Hash:cbb9a876857e4d796c3b56c8ffded286f95efb81,,2.156,4,4,0,0,0,0,0,cbb9a876857e4d796c3b56c8ffded286f95efb81,248b437 334 commits back from current GitHub head Hash:cbb9a876857e4d796c3b56c8ffded286f95efb81,,1.127,4,0,4,0,0,4,1,cbb9a876857e4d796c3b56c8ffded286f95efb81,334_cbb9a876857e4d796c3b56c8ffded286f95efb81_Results,,0,4,4,0,0,0,0,0
aebe3abedc6fae64a9852d03af9ef13472939d6f,27ba26d 341 commits back from current GitHub head Hash:aebe3abedc6fae64a9852d03af9ef13472939d6f,,1.546,4,4,0,0,0,0,0,aebe3abedc6fae64a9852d03af9ef13472939d6f,27ba26d 341 commits back from current GitHub head Hash:aebe3abedc6fae64a9852d03af9ef13472939d6f,,1.104,4,0,4,0,0,4,1,aebe3abedc6fae64a9852d03af9ef13472939d6f,341_aebe3abedc6fae64a9852d03af9ef13472939d6f_Results,,0,4,4,0,0,0,0,0
7aa0bfb97f3d0e7550de81da3368597ed46316e5,29bb3a0 272 commits back from current GitHub head Hash:7aa0bfb97f3d0e7550de81da3368597ed46316e5,,14.187,240,155,85,0,0,85,0.354166666666667,7aa0bfb97f3d0e7550de81da3368597ed46316e5,29bb3a0 272 commits back from current GitHub head Hash:7aa0bfb97f3d0e7550de81da3368597ed46316e5,,2.5,170,0,170,0,0,170,1,7aa0bfb97f3d0e7550de81da3368597ed46316e5,272_7aa0bfb97f3d0e7550de81da3368597ed46316e5_Results,,0.387,170,158,12,0,0,12,0.0705882352941176
7a62f08914cecff531b0fb6a3f25964d84731bcc,306aaba 342 commits back from current GitHub head Hash:7a62f08914cecff531b0fb6a3f25964d84731bcc,,1.64,4,4,0,0,0,0,0,7a62f08914cecff531b0fb6a3f25964d84731bcc,306aaba 342 commits back from current GitHub head Hash:7a62f08914cecff531b0fb6a3f25964d84731bcc,,1.223,4,0,4,0,0,4,1,7a62f08914cecff531b0fb6a3f25964d84731bcc,342_7a62f08914cecff531b0fb6a3f25964d84731bcc_Results,,0,4,4,0,0,0,0,0
dd852422f6f54c204a206e44577b66699d21ad24,3a206ac 338 commits back from current GitHub head Hash:dd852422f6f54c204a206e44577b66699d21ad24,,1.653,4,4,0,0,0,0,0,dd852422f6f54c204a206e44577b66699d21ad24,3a206ac 338 commits back from current GitHub head Hash:dd852422f6f54c204a206e44577b66699d21ad24,,1.223,4,0,4,0,0,4,1,dd852422f6f54c204a206e44577b66699d21ad24,338_dd852422f6f54c204a206e44577b66699d21ad24_Results,,0,4,4,0,0,0,0,0
a7ae1e4615a2d8f5b6a964a952b356a0171b08fc,3a76387 262 commits back from current GitHub head Hash:a7ae1e4615a2d8f5b6a964a952b356a0171b08fc,,14.187,239,169,70,0,0,70,0.292887029288703,a7ae1e4615a2d8f5b6a964a952b356a0171b08fc,3a76387 262 commits back from current GitHub head Hash:a7ae1e4615a2d8f5b6a964a952b356a0171b08fc,,2.173,169,0,169,0,0,169,1,a7ae1e4615a2d8f5b6a964a952b356a0171b08fc,262_a7ae1e4615a2d8f5b6a964a952b356a0171b08fc_Results,,0.006,169,169,0,0,0,0,0
8808ea35261dab5b0179657fded9fb7e9db79a28,3ce0fab 259 commits back from current GitHub head Hash:8808ea35261dab5b0179657fded9fb7e9db79a28,,14.586,243,164,79,0,0,79,0.325102880658436,8808ea35261dab5b0179657fded9fb7e9db79a28,3ce0fab 259 commits back from current GitHub head Hash:8808ea35261dab5b0179657fded9fb7e9db79a28,,2.157,173,0,173,0,0,173,1,8808ea35261dab5b0179657fded9fb7e9db79a28,259_8808ea35261dab5b0179657fded9fb7e9db79a28_Results,,0.008,173,173,0,0,0,0,0
069df243c1e6256c5620da67ee0182ef1eae9d26,3d3b4e3 273 commits back from current GitHub head Hash:069df243c1e6256c5620da67ee0182ef1eae9d26,,17.793,228,74,154,0,0,154,0.675438596491228,069df243c1e6256c5620da67ee0182ef1eae9d26,3d3b4e3 273 commits back from current GitHub head Hash:069df243c1e6256c5620da67ee0182ef1eae9d26,,2.224,158,0,158,0,0,158,1,069df243c1e6256c5620da67ee0182ef1eae9d26,273_069df243c1e6256c5620da67ee0182ef1eae9d26_Results,,0.006,158,158,0,0,0,0,0
72c52def540bdff067a6190e5b3e2d9ff1e39e02,3de340f 304 commits back from current GitHub head Hash:72c52def540bdff067a6190e5b3e2d9ff1e39e02,,12.613,228,158,70,0,0,70,0.307017543859649,72c52def540bdff067a6190e5b3e2d9ff1e39e02,3de340f 304 commits back from current GitHub head Hash:72c52def540bdff067a6190e5b3e2d9ff1e39e02,,2.187,158,0,158,0,0,158,1,72c52def540bdff067a6190e5b3e2d9ff1e39e02,304_72c52def540bdff067a6190e5b3e2d9ff1e39e02_Results,,0.008,158,158,0,0,0,0,0
b14b17786f5fefb8ba82b326549c556a5927c2aa,4e598af 329 commits back from current GitHub head Hash:b14b17786f5fefb8ba82b326549c556a5927c2aa,,2.263,4,4,0,0,0,0,0,b14b17786f5fefb8ba82b326549c556a5927c2aa,4e598af 329 commits back from current GitHub head Hash:b14b17786f5fefb8ba82b326549c556a5927c2aa,,1.163,4,0,4,0,0,4,1,b14b17786f5fefb8ba82b326549c556a5927c2aa,329_b14b17786f5fefb8ba82b326549c556a5927c2aa_Results,,0,4,4,0,0,0,0,0
65e9dfc2ce067a7476fbe816780d7f7a1be3c643,4f1b3a2 277 commits back from current GitHub head Hash:65e9dfc2ce067a7476fbe816780d7f7a1be3c643,,13.22,228,158,70,0,0,70,0.307017543859649,65e9dfc2ce067a7476fbe816780d7f7a1be3c643,4f1b3a2 277 commits back from current GitHub head Hash:65e9dfc2ce067a7476fbe816780d7f7a1be3c643,,2.01,158,0,158,0,0,158,1,65e9dfc2ce067a7476fbe816780d7f7a1be3c643,277_65e9dfc2ce067a7476fbe816780d7f7a1be3c643_Results,,0.009,158,158,0,0,0,0,0
5ec525214798729128eb3c0efb3560bcf3af50c4,4f3f7fe 283 commits back from current GitHub head Hash:5ec525214798729128eb3c0efb3560bcf3af50c4,,13.2,228,158,70,0,0,70,0.307017543859649,5ec525214798729128eb3c0efb3560bcf3af50c4,4f3f7fe 283 commits back from current GitHub head Hash:5ec525214798729128eb3c0efb3560bcf3af50c4,,1.89,158,0,158,0,0,158,1,5ec525214798729128eb3c0efb3560bcf3af50c4,283_5ec525214798729128eb3c0efb3560bcf3af50c4_Results,,0.01,158,158,0,0,0,0,0
08aaad738c40e91e8cb0630218f784e155926906,50b4613 303 commits back from current GitHub head Hash:08aaad738c40e91e8cb0630218f784e155926906,,12.433,228,158,70,0,0,70,0.307017543859649,08aaad738c40e91e8cb0630218f784e155926906,50b4613 303 commits back from current GitHub head Hash:08aaad738c40e91e8cb0630218f784e155926906,,1.95,158,0,158,0,0,158,1,08aaad738c40e91e8cb0630218f784e155926906,303_08aaad738c40e91e8cb0630218f784e155926906_Results,,0.006,158,158,0,0,0,0,0
49a8ad2b4e7c8ec58bac32110c499e1cb9698c01,519c103 300 commits back from current GitHub head Hash:49a8ad2b4e7c8ec58bac32110c499e1cb9698c01,,16.773,228,72,156,0,0,156,0.684210526315789,49a8ad2b4e7c8ec58bac32110c499e1cb9698c01,519c103 300 commits back from current GitHub head Hash:49a8ad2b4e7c8ec58bac32110c499e1cb9698c01,,1.914,158,0,158,0,0,158,1,49a8ad2b4e7c8ec58bac32110c499e1cb9698c01,300_49a8ad2b4e7c8ec58bac32110c499e1cb9698c01_Results,,3.422,158,2,156,0,0,156,0.987341772151899
31cd1e6df7363bf7f8cd20be59633741281400f1,519d0bb 348 commits back from current GitHub head Hash:31cd1e6df7363bf7f8cd20be59633741281400f1,,1.594,4,4,0,0,0,0,0,31cd1e6df7363bf7f8cd20be59633741281400f1,519d0bb 348 commits back from current GitHub head Hash:31cd1e6df7363bf7f8cd20be59633741281400f1,,1.41,4,0,4,0,0,4,1,31cd1e6df7363bf7f8cd20be59633741281400f1,348_31cd1e6df7363bf7f8cd20be59633741281400f1_Results,,0,4,4,0,0,0,0,0
